"","countrycode","year","gii","scenario"
"309","CUB",2001,0.352752020812598,"Observed"
"310","CYP",2001,0.0938427325293487,"Observed"
"311","CZE",2001,0.0941064730391099,"Observed"
"312","DEU",2001,0.0482964388781839,"Observed"
"313","DOM",2001,0.480145251347354,"Observed"
"314","DZA",2001,0.589082147413173,"Observed"
"315","ECU",2001,0.490521771139583,"Observed"
"316","EGY",2001,0.598563990600075,"Observed"
"317","ESP",2001,0.0514955161729259,"Observed"
"318","EST",2001,0.234359691352137,"Observed"
"319","ETH",2001,0.677140096223448,"Observed"
"320","FIN",2001,0.0153350128564604,"Observed"
"321","FJI",2001,0.452704584554851,"Observed"
"322","FRA",2001,0.0781600833959165,"Observed"
"323","GAB",2001,0.635305278394842,"Observed"
"324","GBR",2001,0.16325153518349,"Observed"
"325","GEO",2001,0.382503181408303,"Observed"
"326","GHA",2001,0.592399713493578,"Observed"
"327","GIN",2001,0.701485716083182,"Observed"
"328","GMB",2001,0.744776216288508,"Observed"
"329","GNB",2001,0.701315597927369,"Observed"
"330","GNQ",2001,0.698184070069074,"Observed"
"331","GRC",2001,0.147581220644323,"Observed"
"332","GTM",2001,0.573491902823244,"Observed"
"333","GUY",2001,0.559275888413772,"Observed"
"334","HND",2001,0.523487592712715,"Observed"
"335","HRV",2001,0.104229591405136,"Observed"
"336","HTI",2001,0.623957613900287,"Observed"
"337","HUN",2001,0.233856673935351,"Observed"
"338","IDN",2001,0.558284705547244,"Observed"
"339","IND",2001,0.630408864204044,"Observed"
"340","IRL",2001,0.156211545998082,"Observed"
"341","IRN",2001,0.558960380595786,"Observed"
"342","IRQ",2001,0.640666409556587,"Observed"
"343","ISL",2001,0.0696255379499069,"Observed"
"344","ISR",2001,0.126169330891863,"Observed"
"345","ITA",2001,0.101536708460532,"Observed"
"346","JAM",2001,0.450473856590515,"Observed"
"347","JOR",2001,0.63918585176039,"Observed"
"348","JPN",2001,0.085780830960667,"Observed"
"349","KAZ",2001,0.355827269538555,"Observed"
"350","KEN",2001,0.666986002955625,"Observed"
"351","KGZ",2001,0.410554048645003,"Observed"
"352","KHM",2001,0.582435462687175,"Observed"
"353","KOR",2001,0.0833892795806634,"Observed"
"354","KWT",2001,0.366043170814625,"Observed"
"355","LAO",2001,0.560328317923394,"Observed"
"356","LBN",2001,0.469328960593452,"Observed"
"357","LBR",2001,0.693304610307823,"Observed"
"358","LSO",2001,0.637654890262457,"Observed"
"359","LTU",2001,0.217568947113465,"Observed"
"360","LUX",2001,0.0989713735365121,"Observed"
"361","LVA",2001,0.233480800355515,"Observed"
"362","MAR",2001,0.694617084451998,"Observed"
"363","MDA",2001,0.317428142255575,"Observed"
"364","MDG",2001,0.640294894848797,"Observed"
"365","MDV",2001,0.466993748600216,"Observed"
"366","MEX",2001,0.449870681031322,"Observed"
"367","MKD",2001,0.269005180804046,"Observed"
"368","MLI",2001,0.685275937355572,"Observed"
"369","MLT",2001,0.243110176224335,"Observed"
"370","MNG",2001,0.405254513181695,"Observed"
"371","MOZ",2001,0.616205552274947,"Observed"
"372","MUS",2001,0.449099561721548,"Observed"
"373","MWI",2001,0.664788652977428,"Observed"
"374","MYS",2001,0.278863348219146,"Observed"
"375","NAM",2001,0.524220812937375,"Observed"
"376","NER",2001,0.781850713925138,"Observed"
"377","NGA",2001,0.718456597262026,"Observed"
"378","NLD",2001,0.0148947009659706,"Observed"
"379","NOR",2001,0.0181602566979107,"Observed"
"380","NPL",2001,0.653217039284916,"Observed"
"381","NZL",2001,0.131394946130092,"Observed"
"382","PAN",2001,0.49729571501863,"Observed"
"383","PER",2001,0.474463672751708,"Observed"
"384","PHL",2001,0.468419462940148,"Observed"
"385","POL",2001,0.095673202545587,"Observed"
"386","PRK",2001,0.0754093739995126,"Observed"
"387","PRT",2001,0.124901204721101,"Observed"
"388","PRY",2001,0.615458530315549,"Observed"
"389","ROU",2001,0.36075047491527,"Observed"
"390","RUS",2001,0.367957632911443,"Observed"
"391","RWA",2001,0.553485905631731,"Observed"
"392","SDN",2001,0.689111500922732,"Observed"
"393","SEN",2001,0.637239574197873,"Observed"
"394","SGP",2001,0.108785441573133,"Observed"
"395","SLE",2001,0.685498237048679,"Observed"
